Ri,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
1.51609,15.01,0,2.51,73.05,,8.83,0.53,0,headlamps
1.51667,12.94,,1.26,72.75,,,0,0,'build wind non-float'
1.51588,13.12,3.41,,73.26,0.07,8.39,,0.19,'build wind non-float'
1.52667,13.99,3.7,0.71,71.57,0.02,9.82,0,0.1,'build wind float'
1.51831,14.39,0,,,,6.47,2.88,0,headlamps
1.51918,14.04,3.58,1.37,72.08,0.56,,0,,'build wind float'
1.51613,13.88,1.78,,73.1,0,8.67,0.76,0,headlamps
1.52196,14.36,3.85,0.89,71.36,,9.15,,0,'build wind float'
1.51824,12.87,3.48,,72.95,0.6,8.43,0,0,'build wind float'
1.52151,11.03,1.71,1.56,73.44,0.58,11.62,0,0,containers
,14.56,0,0.56,73.48,,11.22,,0,tableware
1.51618,13.01,3.5,1.48,72.89,0.6,8.12,,0,'build wind non-float'
1.51645,13.4,3.49,1.52,72.65,0.67,8.08,0,0.1,'build wind non-float'
1.51796,13.5,3.36,,,0.57,8.81,0,0.09,'vehic wind float'
1.52222,,0,1,72.67,0.1,11.52,0,0.08,'build wind non-float'
1.51783,12.69,,1.34,72.95,0.57,,0,0,'build wind float'
1.51711,,0,2.08,73.36,0,8.62,,0,headlamps
1.51736,12.78,3.62,1.29,72.79,0.59,8.7,,0,'build wind float'
1.51808,13.43,2.87,,,0.55,,0,,'build wind float'
1.5167,13.24,3.57,1.38,72.7,0.56,8.44,0,,'vehic wind float'
,13.38,0,,72.25,0.33,12.5,0,0,containers
1.519,13.49,3.48,1.35,71.95,0.55,9,,0,'build wind float'
,13.21,2.81,1.29,72.98,0.51,9.02,0,0.09,'build wind float'
1.51905,14,,,,0,,,,tableware
1.51531,14.38,0,2.66,73.1,,9.08,0.64,0,headlamps
1.51916,14.15,,2.09,72.74,0,10.88,0,,tableware
1.51841,13.02,3.62,1.06,72.34,0.64,9.13,0,0.15,'build wind non-float'
,13.02,3.58,1.51,73.12,0.69,,0,0,'build wind non-float'
,13.25,,1.43,73.17,0.61,7.86,,0,'build wind non-float'
1.5164,12.55,3.48,,,0.63,8.08,0,0.09,'build wind non-float'
1.51663,12.93,3.54,1.62,72.96,0.64,,0,0.21,'build wind non-float'
,13.33,3.54,1.61,,0.68,8.11,0,0,'build wind non-float'
1.51869,13.19,3.37,1.18,72.72,0.57,8.83,0,0.16,'build wind float'
,,3.41,1.52,72.04,0.58,8.79,0,0,'vehic wind float'
1.51775,12.85,3.48,,72.97,0.61,8.56,0.09,0.22,'build wind float'
1.5186,,3.43,1.43,72.26,0.51,8.6,,0,'build wind non-float'
1.5172,13.38,3.5,1.15,72.85,0.5,,0,0,'build wind float'
1.51623,14.2,0,2.79,73.46,0.04,9.04,0.4,0.09,headlamps
,13.53,3.55,1.54,72.99,,7.78,0,0,'build wind float'
1.51761,12.81,3.54,1.23,,0.58,8.39,,0,'build wind float'
1.5161,13.42,3.4,1.22,,0.59,8.32,0,0,'vehic wind float'
1.51592,12.86,3.52,,,0.69,7.97,0,0,'build wind non-float'
1.51613,13.92,3.52,1.25,72.88,0.37,7.94,0,0.14,'build wind non-float'
1.51689,12.67,2.88,1.71,73.21,0.73,8.54,0,0,'build wind non-float'
,14.09,2.19,1.66,72.67,0,9.32,0,0,tableware
